alfa_skill,status,severity,referenced_by_count,referenced_by,disposition,beta_home,rationale
fine-tuning-prep,pending,,3,agents/fine-tuning-prep-specialist.md;commands/fine-tuning-prep.md;prompts/ai/6-fine-tuning-prep.md,router-fold,ai-architecture#fine-tuning-prep,playbook in skills/ai-architecture/references/fine-tuning-prep.md
finops,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
firebase-architecture,pending,,0,,router-fold,firebase#architecture,playbook in skills/firebase/references/architecture.md
firebase-auth,pending,,3,agents/auth-architect.md;agents/firebase-auth-expert.md;agents/firebase-specialist.md,router-fold,firebase#auth,playbook in skills/firebase/references/auth.md
firebase-auth-setup,pending,,0,,alias,firebase#auth,duplicate of firebase-auth
firebase-cost-optimization,pending,,0,,router-fold,firebase#cost-optimization,playbook in skills/firebase/references/cost-optimization.md
firebase-deployment,pending,,2,agents/deployment-specialist.md;agents/firebase-deployer.md,router-fold,firebase#deployment,playbook in skills/firebase/references/deployment.md
firebase-emulator-setup,pending,,0,,router-fold,firebase#emulator-setup,playbook in skills/firebase/references/emulator-setup.md
firebase-extensions,pending,,0,,router-fold,firebase#extensions,playbook in skills/firebase/references/extensions.md
firebase-functions,pending,,0,,router-fold,firebase#functions,playbook in skills/firebase/references/functions.md
firebase-hosting,pending,,1,agents/firebase-hosting-expert.md,router-fold,firebase#hosting,playbook in skills/firebase/references/hosting.md
firebase-hosting-setup,pending,,0,,alias,firebase#hosting,duplicate of firebase-hosting
firebase-setup,pending,,2,agents/firebase-emulator-expert.md;agents/firebase-specialist.md,router-fold,firebase#setup,playbook in skills/firebase/references/setup.md
firebase-storage,pending,,1,agents/firebase-storage-expert.md,router-fold,firebase#storage,playbook in skills/firebase/references/storage.md
firestore-modeling,pending,,4,agents/data-modeler.md;agents/database-architect.md;agents/firebase-specialist.md;agents/firestore-expert.md,router-fold,firebase#firestore-modeling,playbook in skills/firebase/references/firestore-modeling.md
firestore-queries,pending,,1,agents/firestore-expert.md,router-fold,firebase#firestore-queries,playbook in skills/firebase/references/firestore-queries.md
firestore-schema-design,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
firestore-security-rules,pending,,1,agents/firestore-expert.md,router-fold,firebase#firestore-security-rules,playbook in skills/firebase/references/firestore-security-rules.md
first-use-onboarding,pending,,1,commands/first-use.md,router-fold,ux-design#first-use-onboarding,playbook in skills/ux-design/references/first-use-onboarding.md
fix-common-issues,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
flow-mapping,pending,,2,agents/domain-modeler.md;agents/flow-mapper.md,router-fold,business-analysis#flow-mapping,playbook in skills/business-analysis/references/flow-mapping.md
folio-generator,dod-complete,P1,0,,router-fold,brand-output#folio-generator,playbook in skills/brand-output/references/folio-generator.md
follow-up-email,dod-complete,P1,0,,router-fold,carrera#follow-up-email,playbook in skills/carrera/references/follow-up-email.md
font-optimization,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
form-builder,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
form-engineering,dod-complete,P1,1,agents/form-specialist.md,router-fold,web-frontend#form-engineering,playbook in skills/web-frontend/references/form-engineering.md
form-ux-advanced,dod-complete,P1,3,agents/form-ux-advanced-specialist.md;commands/form-ux-advanced.md;prompts/ux/11-form-ux-advanced.md,router-fold,ux-design#form-ux-advanced,playbook in skills/ux-design/references/form-ux-advanced.md
frontload-prompt,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,frontload-prompt,standalone skill in beta
functional-spec,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
functional-toolbelt,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
funnel-analytics,dod-complete,P1,3,agents/funnel-analytics-specialist.md;commands/funnel-analytics.md;prompts/analytics/9-funnel-analytics.md,router-fold,product-analytics#funnel-analytics,playbook in skills/product-analytics/references/funnel-analytics.md
funnel-design,pending,,3,agents/funnel-design-specialist.md;commands/funnel-design.md;prompts/business/6-funnel-design.md,router-fold,seo-growth#funnel-design,playbook in skills/seo-growth/references/funnel-design.md
genai-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
generate-qa-report,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
generate-qa-scorecard,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
git-hook-integration,pending,,3,agents/git-hook-integration-specialist.md;commands/git-hook-integration.md;prompts/automation/12-git-hook-integration.md,router-fold,devops-deploy#git-hook-integration,playbook in skills/devops-deploy/references/git-hook-integration.md
git-workflow,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
github-actions-ci,dod-complete,P1,2,agents/ci-cd-configurator.md;agents/deployment-specialist.md,router-fold,devops-deploy#github-actions-ci,playbook in skills/devops-deploy/references/github-actions-ci.md
gmail-mcp,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
google-analytics,pending,,1,agents/google-apis-specialist.md,router-fold,google-workspace#google-analytics,playbook in skills/google-workspace/references/google-analytics.md
google-apis-integration,pending,,0,,router-fold,google-workspace#google-apis-integration,playbook in skills/google-workspace/references/google-apis-integration.md
google-calendar-mcp,pending,,0,,router-fold,google-workspace#google-calendar-mcp,playbook in skills/google-workspace/references/google-calendar-mcp.md
google-docs-mcp,pending,,0,,router-fold,google-workspace#google-docs-mcp,playbook in skills/google-workspace/references/google-docs-mcp.md
google-drive-mcp,pending,,0,,router-fold,google-workspace#google-drive-mcp,playbook in skills/google-workspace/references/google-drive-mcp.md
google-maps-integration,pending,,1,agents/map-specialist.md,router-fold,google-workspace#google-maps-integration,playbook in skills/google-workspace/references/google-maps-integration.md
google-sheets-mcp,pending,,0,,router-fold,google-workspace#google-sheets-mcp,playbook in skills/google-workspace/references/google-sheets-mcp.md
google-slides-mcp,pending,,0,,router-fold,google-workspace#google-slides-mcp,playbook in skills/google-workspace/references/google-slides-mcp.md
google-workspace-apis,pending,,1,agents/google-apis-specialist.md,router-fold,google-workspace#apis,playbook in skills/google-workspace/references/apis.md
governance-framework,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
gratitud-post-proceso,dod-complete,P1,0,,router-fold,carrera#gratitud-post-proceso,playbook in skills/carrera/references/gratitud-post-proceso.md
grid-systems,pending,,3,agents/grid-systems-specialist.md;commands/grid-systems.md;prompts/ux/9-grid-systems.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
guardrails-management,dod-complete,P1,0,,router-fold,guardrails#management,playbook in skills/guardrails/references/management.md
health-check-automation,dod-complete,P1,3,agents/health-check-automation-specialist.md;commands/health-check-automation.md;prompts/automation/16-health-check-automation.md,router-fold,observability#health-check-automation,playbook in skills/observability/references/health-check-automation.md
hook-creator,pending,,0,,router-fold,skill-foundry#hook-creator,playbook in skills/skill-foundry/references/hook-creator.md
hook-engineering,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
hostinger-deployment,pending,,3,agents/deployment-specialist.md;agents/hostinger-expert.md;agents/infrastructure-planner.md,router-fold,hosting-infra#hostinger-deployment,playbook in skills/hosting-infra/references/hostinger-deployment.md
html-brand,pending,,0,,router-fold,brand-output#html-brand,playbook in skills/brand-output/references/html-brand.md
html-semantic,pending,,3,agents/frontend-craftsman.md;agents/html-specialist.md;agents/vanilla-js-specialist.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
html-semantic-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
http-headers,pending,,3,agents/http-headers-specialist.md;commands/http-headers.md;prompts/devops/15-http-headers.md,router-fold,security#http-headers,playbook in skills/security/references/http-headers.md
human-escalation-design,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iconography,pending,,3,agents/iconography-specialist.md;commands/iconography.md;prompts/ux/7-iconography.md,router-fold,ux-design#iconography,playbook in skills/ux-design/references/iconography.md
ideate-component,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
ideate-plugin,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-artifact-analyzer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-bugfix,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-checklist-generator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-clarify,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-constitution,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-core-engine,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-implement,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-plan-generator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-specify,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-task-decomposer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-tasks-to-issues,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iic-testify,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
iikit-00-constitution,pending,,0,,router-fold,iikit#00-constitution,playbook in skills/iikit/references/00-constitution.md
iikit-01-specify,pending,,0,,router-fold,iikit#01-specify,playbook in skills/iikit/references/01-specify.md
iikit-02-plan,pending,,0,,router-fold,iikit#02-plan,playbook in skills/iikit/references/02-plan.md
iikit-03-checklist,pending,,0,,router-fold,iikit#03-checklist,playbook in skills/iikit/references/03-checklist.md
iikit-04-testify,pending,,0,,router-fold,iikit#04-testify,playbook in skills/iikit/references/04-testify.md
iikit-05-tasks,pending,,0,,router-fold,iikit#05-tasks,playbook in skills/iikit/references/05-tasks.md
iikit-06-analyze,pending,,0,,router-fold,iikit#06-analyze,playbook in skills/iikit/references/06-analyze.md
iikit-07-implement,pending,,0,,router-fold,iikit#07-implement,playbook in skills/iikit/references/07-implement.md
iikit-08-taskstoissues,pending,,0,,router-fold,iikit#08-taskstoissues,playbook in skills/iikit/references/08-taskstoissues.md
iikit-bugfix,pending,,0,,router-fold,iikit#bugfix,playbook in skills/iikit/references/bugfix.md
iikit-clarify,pending,,0,,router-fold,iikit#clarify,playbook in skills/iikit/references/clarify.md
iikit-core,pending,,0,,router-fold,iikit#core,playbook in skills/iikit/references/core.md
image-optimization,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
incident-response,pending,,3,agents/incident-response-specialist.md;commands/incident-response.md;prompts/devops/5-incident-response.md,router-fold,observability#incident-response,playbook in skills/observability/references/incident-response.md
independent-review-design,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
indexability-validator,pending,,1,agents/quality-guardian.md,router-fold,seo-growth#indexability-validator,playbook in skills/seo-growth/references/indexability-validator.md
infrastructure-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
infrastructure-design,pending,,1,agents/infrastructure-planner.md,router-fold,hosting-infra#infrastructure-design,playbook in skills/hosting-infra/references/infrastructure-design.md
input-analysis,dod-complete,P1,3,agents/input-amplifier.md;agents/jarvis-orchestrator.md;agents/requirements-analyst.md,alias,business-analysis#requirements-engineering,manual alias (winner not standalone in beta)
input-analyst,dod-complete,P1,0,,alias,business-analysis#requirements-engineering,manual alias (winner not standalone in beta)
input-sanitization,pending,,1,agents/security-scanner.md,router-fold,security#input-sanitization,playbook in skills/security/references/input-sanitization.md
input-tolerance,pending,,1,agents/adk-orchestrator.md,router-fold,guardrails#input-tolerance,playbook in skills/guardrails/references/input-tolerance.md
integration-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
integration-testing,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
integrity-chain-validation,pending,,2,agents/integrity-validator.md;agents/quality-guardian.md,router-fold,guardrails#integrity-chain-validation,playbook in skills/guardrails/references/integrity-chain-validation.md
intelligent-routing,pending,,1,agents/adk-orchestrator.md,router-fold,agent-orchestration#intelligent-routing,playbook in skills/agent-orchestration/references/intelligent-routing.md
internal-memo,pending,,3,agents/internal-memo-specialist.md;commands/internal-memo.md;prompts/content/8-internal-memo.md,router-fold,docs-writing#internal-memo,playbook in skills/docs-writing/references/internal-memo.md
internationalization,pending,,3,agents/i18n-specialist.md;commands/add-i18n.md;prompts/development/62-implement-i18n.md,router-fold,web-frontend#internationalization,playbook in skills/web-frontend/references/internationalization.md
interview-prep,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
inventory-management,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
invoice-generator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
jarvis-bootstrap,not-in-ledger,,0,,core,jarvis-bootstrap,standalone skill in beta
jarvis-os,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,jarvis-os,standalone skill in beta
javascript-patterns,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
jmlabs-corporate-doc,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
katas-adaptive-investigation,dod-complete,P1,0,,router-fold,kata#adaptive-investigation,playbook in skills/kata/references/adaptive-investigation.md
katas-builtin-tool-selection,dod-complete,P1,0,,router-fold,kata#builtin-tool-selection,playbook in skills/kata/references/builtin-tool-selection.md
katas-confidence-stratified-sampling,dod-complete,P1,0,,router-fold,kata#confidence-stratified-sampling,playbook in skills/kata/references/confidence-stratified-sampling.md
katas-context-dilution-mitigation,dod-complete,P1,0,,router-fold,kata#context-dilution-mitigation,playbook in skills/kata/references/context-dilution-mitigation.md
katas-critical-self-correction,pending,,0,,router-fold,kata#critical-self-correction,playbook in skills/kata/references/critical-self-correction.md
katas-custom-commands-skills,pending,,0,,router-fold,kata#custom-commands-skills,playbook in skills/kata/references/custom-commands-skills.md
katas-defensive-structured-extraction,pending,,0,,router-fold,kata#defensive-structured-extraction,playbook in skills/kata/references/defensive-structured-extraction.md
katas-deterministic-agent-loop,pending,,0,,router-fold,kata#deterministic-agent-loop,playbook in skills/kata/references/deterministic-agent-loop.md
katas-false-positive-criteria,pending,,0,,router-fold,kata#false-positive-criteria,playbook in skills/kata/references/false-positive-criteria.md
katas-fewshot-edge-calibration,pending,,0,,router-fold,kata#fewshot-edge-calibration,playbook in skills/kata/references/fewshot-edge-calibration.md
katas-headless-code-review,pending,,0,,router-fold,kata#headless-code-review,playbook in skills/kata/references/headless-code-review.md
katas-hierarchical-claude-memory,pending,,0,,router-fold,kata#hierarchical-claude-memory,playbook in skills/kata/references/hierarchical-claude-memory.md
katas-hub-and-spoke-isolation,pending,,0,,router-fold,kata#hub-and-spoke-isolation,playbook in skills/kata/references/hub-and-spoke-isolation.md
katas-human-handoff-protocol,pending,,0,,router-fold,kata#human-handoff-protocol,playbook in skills/kata/references/human-handoff-protocol.md
katas-independent-reviewer-multipass,pending,,0,,router-fold,kata#independent-reviewer-multipass,playbook in skills/kata/references/independent-reviewer-multipass.md
katas-mcp-server-configuration,pending,,0,,router-fold,kata#mcp-server-configuration,playbook in skills/kata/references/mcp-server-configuration.md
katas-mcp-structured-errors,pending,,0,,router-fold,kata#mcp-structured-errors,playbook in skills/kata/references/mcp-structured-errors.md
katas-message-batch-processing,pending,,0,,router-fold,kata#message-batch-processing,playbook in skills/kata/references/message-batch-processing.md
katas-multiagent-error-propagation,pending,,0,,router-fold,kata#multiagent-error-propagation,playbook in skills/kata/references/multiagent-error-propagation.md
katas-multipass-prompt-chaining,pending,,0,,router-fold,kata#multipass-prompt-chaining,playbook in skills/kata/references/multipass-prompt-chaining.md
katas-path-conditional-rules,pending,,0,,router-fold,kata#path-conditional-rules,playbook in skills/kata/references/path-conditional-rules.md
katas-persistent-scratchpad,dod-complete,P1,0,,router-fold,kata#persistent-scratchpad,playbook in skills/kata/references/persistent-scratchpad.md
katas-plan-mode-exploration,pending,,0,,router-fold,kata#plan-mode-exploration,playbook in skills/kata/references/plan-mode-exploration.md
katas-posttooluse-normalization,dod-complete,P1,0,,router-fold,kata#posttooluse-normalization,playbook in skills/kata/references/posttooluse-normalization.md
katas-prefix-caching,pending,,0,,router-fold,kata#prefix-caching,playbook in skills/kata/references/prefix-caching.md
katas-pretooluse-guardrails,dod-complete,P1,0,,router-fold,kata#pretooluse-guardrails,playbook in skills/kata/references/pretooluse-guardrails.md
katas-provenance-preservation,dod-complete,P1,0,,router-fold,kata#provenance-preservation,playbook in skills/kata/references/provenance-preservation.md
katas-session-resume-fork,dod-complete,P1,0,,router-fold,kata#session-resume-fork,playbook in skills/kata/references/session-resume-fork.md
katas-tool-description-quality,dod-complete,P1,0,,router-fold,kata#tool-description-quality,playbook in skills/kata/references/tool-description-quality.md
katas-validation-retry-feedback,dod-complete,P1,0,,router-fold,kata#validation-retry-feedback,playbook in skills/kata/references/validation-retry-feedback.md
kit-orchestrator,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
knowledge-management,dod-complete,P1,3,agents/knowledge-management-specialist.md;commands/knowledge-management.md;prompts/enterprise/5-knowledge-management.md,router-fold,docs-writing#knowledge-management,playbook in skills/docs-writing/references/knowledge-management.md
kpi-framework,pending,,3,agents/kpi-framework-specialist.md;commands/kpi-framework.md;prompts/analytics/1-kpi-framework.md,router-fold,product-analytics#kpi-framework,playbook in skills/product-analytics/references/kpi-framework.md
lab-session,not-in-ledger,,1,agents/jarvis-orchestrator.md,core,lab-session,standalone skill in beta
landing-page-builder,pending,,1,agents/landing-page-builder.md,router-fold,seo-growth#landing-page-builder,playbook in skills/seo-growth/references/landing-page-builder.md
landing-pages,pending,,2,agents/copywriter.md;agents/landing-page-builder.md,router-fold,seo-growth#landing-pages,playbook in skills/seo-growth/references/landing-pages.md
lead-generation,pending,,3,agents/lead-generation-specialist.md;commands/lead-generation.md;prompts/business/13-lead-generation.md,router-fold,sales-bizdev#lead-generation,playbook in skills/sales-bizdev/references/lead-generation.md
lighthouse-ci,pending,,1,agents/quality-guardian.md,router-fold,devops-deploy#lighthouse-ci,playbook in skills/devops-deploy/references/lighthouse-ci.md
linkedin-optimization,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
linting-formatting,pending,,1,agents/linter-configurator.md,router-fold,devops-deploy#linting-formatting,playbook in skills/devops-deploy/references/linting-formatting.md
llm-evaluation,pending,,3,agents/llm-evaluation-specialist.md;commands/llm-evaluation.md;prompts/ai/3-llm-evaluation.md,router-fold,ai-quality#llm-evaluation,playbook in skills/ai-quality/references/llm-evaluation.md
local-state-preservation,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
localization-guide,pending,,3,agents/localization-guide-specialist.md;commands/localization-guide.md;prompts/content/15-localization-guide.md,router-fold,web-frontend#localization-guide,playbook in skills/web-frontend/references/localization-guide.md
log-management,pending,,3,agents/log-management-specialist.md;commands/log-management.md;prompts/devops/4-log-management.md,router-fold,observability#log-management,playbook in skills/observability/references/log-management.md
market-intelligence,pending,,1,agents/client-prospector.md,router-fold,market-intel#market-intelligence,playbook in skills/market-intel/references/market-intelligence.md
marketing-context,pending,,3,agents/marketing-context-specialist.md;commands/marketing-context.md;prompts/business/1-marketing-context.md,router-fold,market-intel#marketing-context,playbook in skills/market-intel/references/marketing-context.md
maturity-assessment,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
mcp-creator,dod-complete,P1,0,,router-fold,skill-foundry#mcp-creator,playbook in skills/skill-foundry/references/mcp-creator.md
mcp-engineering,dod-complete,P1,0,,core,mcp-engineering,standalone skill in beta
meeting-notes,pending,,1,commands/requirements.md,router-fold,docs-writing#meeting-notes,playbook in skills/docs-writing/references/meeting-notes.md
mermaid-diagramming,pending,,3,agents/architecture-designer.md;agents/diagram-specialist.md;agents/flow-mapper.md,router-fold,docs-writing#mermaid-diagramming,playbook in skills/docs-writing/references/mermaid-diagramming.md
message-batch-orchestration,dod-complete,P1,0,,core,message-batch-orchestration,standalone skill in beta
meta-orchestration-updater,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
meta-skill-creator,pending,,0,,router-fold,skill-foundry#meta-skill-creator,playbook in skills/skill-foundry/references/meta-skill-creator.md
meta-skill-deployer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
meta-skill-indexer,pending,,0,,router-fold,skill-foundry#meta-skill-indexer,playbook in skills/skill-foundry/references/meta-skill-indexer.md
meta-skill-reviewer,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
meta-skill-searcher,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
metrics-instrumentation,pending,,3,agents/metrics-instrumentation-specialist.md;commands/metrics-instrumentation.md;prompts/analytics/16-metrics-instrumentation.md,router-fold,product-analytics#metrics-instrumentation,playbook in skills/product-analytics/references/metrics-instrumentation.md
micro-interactions,pending,,6,agents/animation-specialist.md;agents/micro-interactions-specialist.md;commands/add-animation.md;commands/micro-interactions.md;prompts/development/63-implement-animation.md;prompts/ux/5-micro-interactions.md,router-fold,ux-design#micro-interactions,playbook in skills/ux-design/references/micro-interactions.md
microcopy-writing,pending,,3,agents/microcopy-writing-specialist.md;commands/microcopy-writing.md;prompts/content/14-microcopy-writing.md,router-fold,ux-design#microcopy-writing,playbook in skills/ux-design/references/microcopy-writing.md
migration-planning,pending,,1,agents/migration-planner.md,router-fold,architecture#migration-planning,playbook in skills/architecture/references/migration-planning.md
mobile-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
mobile-assessment,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
mobile-patterns,pending,,3,agents/mobile-patterns-specialist.md;commands/mobile-patterns.md;prompts/ux/16-mobile-patterns.md,router-fold,ux-design#mobile-patterns,playbook in skills/ux-design/references/mobile-patterns.md
modal-dialog-patterns,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
monitoring-alerting,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
monitoring-setup,pending,,3,agents/monitoring-setup-specialist.md;commands/monitoring-setup.md;prompts/devops/2-monitoring-setup.md,router-fold,observability#monitoring-setup,playbook in skills/observability/references/monitoring-setup.md
monthly-audit,not-in-ledger,,0,,core,monthly-audit,standalone skill in beta
motion-design,pending,,3,agents/motion-design-specialist.md;commands/motion-design.md;prompts/ux/10-motion-design.md,router-fold,ux-design#motion-design,playbook in skills/ux-design/references/motion-design.md
multi-model-routing,pending,,3,agents/multi-model-routing-specialist.md;commands/multi-model-routing.md;prompts/ai/12-multi-model-routing.md,router-fold,agent-orchestration#multi-model-routing,playbook in skills/agent-orchestration/references/multi-model-routing.md
naming-and-slugging,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
navigation-patterns,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
negociacion-oferta,dod-complete,P1,0,,router-fold,carrera#negociacion-oferta,playbook in skills/carrera/references/negociacion-oferta.md
newsletter-design,pending,,3,agents/newsletter-design-specialist.md;commands/newsletter-design.md;prompts/business/11-newsletter-design.md,router-fold,email-comms#newsletter-design,playbook in skills/email-comms/references/newsletter-design.md
node-api-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
node-development,pending,,1,agents/node-specialist.md,dropped-generic,none,restates base-model knowledge; referencers rewired to nearest router
notebook-curator-seleccion,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
notification-handler,pending,,3,agents/notification-handler-specialist.md;commands/notification-handler.md;prompts/automation/8-notification-handler.md,router-fold,session-workspace#notification-handler,playbook in skills/session-workspace/references/notification-handler.md
notification-service,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
notification-ux,pending,,3,agents/notification-ux-specialist.md;commands/notification-ux.md;prompts/ux/13-notification-ux.md,router-fold,ux-design#notification-ux,playbook in skills/ux-design/references/notification-ux.md
oauth-social-login,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
observability,pending,,0,,core,observability,standalone skill in beta
office-workflow-runner,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
official-source-verifier,dod-complete,P1,0,,core,official-source-verifier,standalone skill in beta
okr-design,pending,,3,agents/okr-design-specialist.md;commands/okr-design.md;prompts/enterprise/15-okr-design.md,router-fold,pm-delivery#okr-design,playbook in skills/pm-delivery/references/okr-design.md
onboarding-90-dias,dod-complete,P1,0,,router-fold,carrera#onboarding-90-dias,playbook in skills/carrera/references/onboarding-90-dias.md
onboarding-playbook,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
onboarding-ux,pending,,3,agents/onboarding-ux-specialist.md;commands/onboarding-ux.md;prompts/business/10-onboarding-ux.md,router-fold,ux-design#onboarding-ux,playbook in skills/ux-design/references/onboarding-ux.md
open-claude-security,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
open-claw-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
openclaw-isolation,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
openclaw-personal-deploy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
openclaw-tool-auth,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
output-contract-enforcer,dod-complete,P1,0,,router-fold,guardrails#output-contract-enforcer,playbook in skills/guardrails/references/output-contract-enforcer.md
output-engineering,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
parallel-workflow,pending,,1,agents/pipeline-conductor.md,router-fold,agent-orchestration#parallel-workflow,playbook in skills/agent-orchestration/references/parallel-workflow.md
partnership-strategy,pending,,3,agents/partnership-strategy-specialist.md;commands/partnership-strategy.md;prompts/business/15-partnership-strategy.md,router-fold,market-intel#partnership-strategy,playbook in skills/market-intel/references/partnership-strategy.md
payment-integration,pending,,2,agents/ecommerce-builder.md;agents/payment-specialist.md,router-fold,integrations#payment-integration,playbook in skills/integrations/references/payment-integration.md
pdf-architecture-reviewer,dod-complete,P1,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
penetration-testing-guide,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
performance-architecture,pending,,1,agents/performance-architect.md,router-fold,architecture#performance-architecture,playbook in skills/architecture/references/performance-architecture.md
performance-engineering,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
performance-testing,pending,,2,agents/performance-tester.md;agents/quality-guardian.md,router-fold,testing-qa#performance-testing,playbook in skills/testing-qa/references/performance-testing.md
permission-fast-path,pending,,3,agents/permission-fast-path-specialist.md;commands/permission-fast-path.md;prompts/automation/10-permission-fast-path.md,router-fold,guardrails#permission-fast-path,playbook in skills/guardrails/references/permission-fast-path.md
persistent-memory-design,dod-complete,P1,0,,core,persistent-memory-design,standalone skill in beta
personal-branding,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
pipeline-governance,pending,,1,agents/adk-orchestrator.md,router-fold,data-governance#pipeline-governance,playbook in skills/data-governance/references/pipeline-governance.md
pitch-deck,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
plan-architecture,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
plan-moat-strategy,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
plan-mode-workflow,dod-complete,P1,0,,core,plan-mode-workflow,standalone skill in beta
plugin-builder,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
plugin-reload,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
poc-lab,pending,,0,,dropped-unreferenced,none,pending+unreferenced; alfa is the archive
